class,image,yellow_ratio,brown_ratio,dark_ratio,flagged_yellow,flagged_brown,flagged_dark,flagged_overall
gray_leaf_blight,"1,382 Young Sprout Coconut Tree Stock Photos - Free & Royalty-Free Stock Photos .jpg",0.6048,0.1101,0.0442,True,True,True,True
gray_leaf_blight,111 Daun Kelapa Stock Photos - Free & Royalty-Free Stock Photos from Dreamstime.jpg,0.2120,0.0209,0.1408,False,True,True,True
gray_leaf_blight,1_ Leaf Rot of Coconut. _ Download Scientific Diagram.jpg,0.2706,0.1210,0.1247,True,True,True,True
gray_leaf_blight,"270 Coconut Leaves Disease Royalty-Free Images, Stock Photos & Pictures _ Shutte (1).jpg",0.4630,0.0004,0.3288,True,False,True,True
gray_leaf_blight,"270 Coconut Leaves Disease Royalty-Free Images, Stock Photos & Pictures _ Shutte (2).jpg",0.3107,0.0007,0.1988,True,False,True,True
gray_leaf_blight,"270 Coconut Leaves Disease Royalty-Free Images, Stock Photos & Pictures _ Shutte (3).jpg",0.4963,0.0000,0.0263,True,False,True,True
gray_leaf_blight,"270 Coconut Leaves Disease Royalty-Free Images, Stock Photos & Pictures _ Shutte (4).jpg",0.2263,0.0782,0.0276,False,True,True,True
gray_leaf_blight,"270 Coconut Leaves Disease Royalty-Free Images, Stock Photos & Pictures _ Shutte (5).jpg",0.3781,0.0016,0.3047,True,False,True,True
gray_leaf_blight,"270 Coconut Leaves Disease Royalty-Free Images, Stock Photos & Pictures _ Shutte.jpg",0.3170,0.1997,0.1193,True,True,True,True
gray_leaf_blight,310 Brown Color Coconut Dry Leaf Stock Photos - Free & Royalty-Free Stock Photos.jpg,0.4492,0.0843,0.0267,True,True,True,True
gray_leaf_blight,"410 Palm Coconut Diseases Royalty-Free Images, Stock Photos & Pictures _ Shutter (1).jpg",0.2651,0.0093,0.0005,True,False,False,True
gray_leaf_blight,"410 Palm Coconut Diseases Royalty-Free Images, Stock Photos & Pictures _ Shutter.jpg",0.3420,0.0252,0.1277,True,True,True,True
gray_leaf_blight,"6,998 Spots Disease Stock Photos - Free & Royalty-Free Stock Photos from Dreamst.jpg",0.0523,0.0305,0.0075,False,True,False,True
gray_leaf_blight,A close-up photograph of a coconut palm seedling (Cocos nucifera) infected with .jpg,0.0883,0.0255,0.0636,False,True,True,True
gray_leaf_blight,Album_ Coconut leaf miner.jpg,0.2148,0.0128,0.0025,False,False,False,False
gray_leaf_blight,Album_ Coconut pests (1).jpg,0.4870,0.0432,0.0939,True,True,True,True
gray_leaf_blight,Album_ Items tagged with Bipolaris incurvata.jpg,0.2767,0.0354,0.0016,True,True,False,True
gray_leaf_blight,Bacterial Leaf Streak in Corn _ Crop Science US.jpg,0.0676,0.0058,0.0195,False,False,False,False
